demand,policy,seed,wait_seconds,picked_up
1,greedy,1,24.5000,true
1,greedy,1,16.2000,true
1,greedy,1,21.8000,true
1,greedy,1,25.4000,true
1,greedy,1,19.8000,true
1,greedy,1,21.2000,true
1,greedy,1,31.2000,true
1,greedy,1,26.2000,true
1,greedy,1,45.0000,true
1,greedy,1,23.4000,true
1,greedy,1,22.1000,true
1,greedy,1,24.6000,true
1,greedy,1,42.2000,true
1,greedy,1,27.4000,true
1,greedy,1,17.5000,true
1,greedy,1,131.9000,true
1,greedy,1,11.4000,true
1,greedy,1,35.8000,true
1,greedy,1,56.3000,true
1,greedy,1,13.9000,true
1,greedy,1,60.4000,true
1,greedy,1,39.4000,true
1,greedy,1,0.8000,true
1,greedy,1,15.2000,true
1,greedy,1,28.4000,true
1,greedy,1,48.0000,true
1,greedy,1,19.1000,true
1,greedy,1,60.2000,true
1,greedy,1,13.5000,true
1,greedy,1,14.4000,true
1,greedy,1,12.0000,true
1,greedy,1,23.9000,true
1,greedy,1,14.3000,true
1,greedy,1,12.1000,true
1,greedy,1,45.1000,true
1,greedy,1,37.8000,true
1,greedy,1,20.6000,true
1,greedy,1,8.3000,true
1,greedy,1,32.6000,true
1,greedy,1,20.8000,true
1,greedy,1,26.4000,true
1,greedy,1,6.5000,true
1,greedy,1,37.6000,true
1,greedy,1,25.9000,true
1,greedy,1,16.2000,true
1,greedy,1,25.4000,true
1,greedy,1,43.2000,true
1,greedy,1,30.3000,true
1,greedy,1,19.3000,true
1,greedy,1,21.6000,true
1,greedy,1,27.8000,true
1,greedy,1,44.2000,true
1,greedy,1,10.6000,true
1,greedy,1,35.5000,true
1,greedy,1,18.2000,true
1,greedy,1,51.6000,true
1,greedy,1,21.6000,true
1,greedy,1,136.5000,true
1,greedy,1,9.5000,true
1,greedy,1,1.8000,true
1,greedy,1,9.5000,true
1,greedy,1,3.8000,true
1,greedy,1,29.5000,true
1,greedy,1,19.5000,true
1,greedy,1,32.9000,true
1,greedy,1,69.5000,true
1,greedy,1,51.1000,true
1,greedy,1,48.2000,true
1,greedy,1,42.1000,true
1,greedy,1,44.6000,true
1,greedy,1,29.4000,true
1,greedy,1,25.1000,true
1,greedy,1,10.5000,true
1,greedy,1,39.9000,true
