policy,seed,wait_seconds
batch,1,27.0000
batch,1,20.3000
batch,1,34.7000
batch,1,29.3000
batch,1,23.2000
batch,1,25.8000
batch,1,36.1000
batch,1,36.0000
batch,1,56.7000
batch,1,27.2000
batch,1,23.7000
batch,1,44.7000
batch,1,32.9000
batch,1,36.6000
batch,1,22.6000
batch,1,16.2000
batch,1,45.3000
batch,1,62.0000
batch,1,68.1000
batch,1,15.7000
batch,1,16.1000
batch,1,31.2000
batch,1,44.9000
batch,1,4.9000
batch,1,54.0000
batch,1,20.8000
batch,1,227.3000
batch,1,63.9000
batch,1,19.0000
batch,1,21.0000
batch,1,15.3000
batch,1,24.4000
batch,1,17.5000
batch,1,14.3000
batch,1,51.8000
batch,1,41.9000
batch,1,10.8000
batch,1,25.5000
batch,1,26.6000
batch,1,36.9000
batch,1,28.7000
batch,1,8.2000
batch,1,40.9000
batch,1,19.9000
batch,1,29.2000
batch,1,31.3000
batch,1,50.0000
batch,1,33.5000
batch,1,32.5000
batch,1,58.2000
batch,1,40.8000
batch,1,22.0000
batch,1,18.9000
batch,1,23.3000
batch,1,54.1000
batch,1,32.4000
batch,1,145.1000
batch,1,4.7000
batch,1,33.0000
batch,1,25.4000
batch,1,5.1000
batch,1,36.6000
batch,1,65.8000
batch,1,73.9000
batch,1,37.6000
batch,1,29.2000
batch,1,53.0000
batch,1,29.9000
batch,1,46.6000
batch,1,10.9000
batch,1,12.4000
batch,1,54.9000
batch,1,36.0000
batch,1,75.0000
batch,1,44.2000
batch,1,126.5000
batch,1,45.7000
batch,1,37.4000
batch,1,15.9000
batch,1,73.2000
batch,1,30.4000
batch,1,46.3000
batch,1,26.4000
batch,1,76.9000
batch,1,39.5000
batch,1,60.7000
batch,1,62.7000
batch,1,174.1000
batch,1,33.2000
batch,1,87.2000
batch,1,39.7000
batch,1,60.8000
batch,1,52.5000
batch,1,19.5000
batch,1,69.3000
batch,1,69.5000
batch,1,16.9000
batch,1,11.8000
batch,1,82.0000
batch,1,31.5000
batch,1,50.6000
batch,1,49.2000
batch,1,22.2000
batch,1,37.4000
batch,1,137.9000
batch,1,19.6000
batch,1,59.7000
batch,1,83.3000
batch,1,41.1000
batch,1,38.9000
batch,1,6.6000
batch,1,6.2000
batch,1,73.6000
batch,1,83.4000
batch,1,65.8000
batch,1,87.8000
batch,1,21.0000
batch,1,123.3000
batch,1,128.2000
batch,1,48.0000
batch,1,46.9000
batch,1,46.2000
batch,1,30.4000
batch,1,122.2000
batch,1,22.3000
batch,1,23.6000
batch,1,88.6000
batch,1,111.1000
batch,1,42.2000
batch,1,92.4000
batch,1,48.9000
batch,1,51.4000
batch,1,413.5000
batch,1,33.5000
batch,1,23.3000
batch,1,28.0000
batch,1,344.9000
batch,1,147.2000
batch,1,51.1000
batch,1,225.5000
batch,1,30.1000
batch,1,59.5000
batch,1,18.5000
batch,1,63.8000
batch,1,58.5000
batch,1,48.9000
batch,1,47.7000
batch,1,645.8000
batch,1,15.6000
batch,1,264.2000
batch,1,66.9000
batch,1,51.2000
batch,1,33.6000
batch,1,28.6000
batch,1,75.7000
batch,1,63.4000
batch,1,119.2000
batch,1,58.4000
batch,1,14.2000
batch,1,64.1000
batch,1,54.5000
batch,1,59.5000
batch,1,35.2000
batch,1,104.8000
batch,1,61.8000
batch,1,67.2000
batch,1,92.1000
batch,1,50.2000
batch,1,85.9000
batch,1,48.8000
batch,1,53.3000
batch,1,10.8000
batch,1,108.0000
batch,1,43.2000
batch,1,76.7000
batch,1,138.4000
batch,1,64.2000
batch,1,59.9000
batch,1,37.1000
batch,1,87.5000
batch,1,93.6000
batch,1,67.1000
batch,1,11.3000
batch,1,55.1000
batch,1,48.7000
batch,1,183.7000
batch,1,144.4000
batch,1,53.6000
batch,1,35.9000
batch,1,89.0000
batch,1,84.5000
batch,1,78.5000
batch,1,67.2000
batch,1,42.7000
batch,1,100.6000
batch,1,23.5000
batch,1,78.1000
batch,1,99.1000
batch,1,109.3000
batch,1,87.1000
batch,1,60.3000
batch,1,106.6000
batch,1,114.1000
batch,1,61.1000
batch,1,70.4000
batch,1,115.4000
batch,1,350.2000
batch,1,530.2000
batch,1,62.5000
batch,1,30.8000
batch,1,65.7000
batch,1,119.5000
batch,1,150.6000
batch,1,187.7000
batch,1,155.5000
batch,1,86.7000
batch,1,153.4000
batch,1,154.4000
batch,1,104.3000
batch,1,87.5000
batch,1,156.3000
batch,1,131.8000
batch,1,69.5000
batch,1,61.2000
batch,1,163.9000
batch,1,463.5000
batch,1,48.1000
batch,1,58.9000
batch,1,63.8000
batch,1,77.2000
batch,1,93.6000
batch,1,111.6000
batch,1,522.7000
batch,1,33.4000
batch,1,19.6000
batch,1,70.8000
batch,1,36.7000
batch,1,56.4000
batch,1,67.9000
batch,1,93.7000
batch,1,234.9000
batch,1,6.0000
batch,1,154.8000
batch,1,59.4000
batch,1,49.0000
batch,1,155.9000
batch,1,2.9000
batch,1,97.1000
batch,1,110.3000
batch,1,73.5000
batch,1,144.0000
batch,1,70.4000
batch,1,127.6000
batch,1,36.5000
batch,1,85.5000
batch,1,87.7000
batch,1,176.5000
batch,1,61.4000
batch,1,117.6000
batch,1,88.1000
batch,1,44.4000
batch,1,130.4000
batch,1,226.7000
batch,1,72.6000
batch,1,53.3000
batch,1,59.6000
batch,1,156.7000
batch,1,159.0000
batch,1,58.9000
batch,1,296.4000
batch,1,129.6000
batch,1,125.4000
batch,1,60.1000
batch,1,140.3000
batch,1,141.4000
batch,1,63.1000
batch,1,39.9000
batch,1,107.1000
batch,1,80.5000
batch,1,96.8000
batch,1,151.6000
batch,1,77.7000
batch,1,87.3000
batch,1,149.3000
batch,1,60.3000
batch,1,73.8000
batch,1,70.5000
batch,1,73.7000
batch,1,791.3000
batch,1,151.0000
batch,1,82.8000
batch,1,98.5000
batch,1,118.1000
batch,1,118.7000
batch,1,102.9000
batch,1,89.2000
batch,1,146.7000
batch,1,196.4000
batch,1,153.1000
batch,1,125.1000
batch,1,91.4000
batch,1,676.4000
batch,1,75.8000
batch,1,73.4000
batch,1,156.6000
batch,1,177.1000
batch,1,48.5000
batch,1,122.7000
batch,1,278.1000
batch,1,119.7000
batch,1,87.9000
batch,1,143.1000
batch,1,184.0000
batch,1,59.5000
batch,1,98.3000
batch,1,148.5000
batch,1,116.3000
batch,1,49.9000
batch,1,158.9000
batch,1,150.0000
batch,1,54.8000
batch,1,658.0000
batch,1,124.3000
batch,1,94.7000
batch,1,123.6000
batch,1,228.0000
batch,1,135.8000
batch,1,120.0000
batch,1,93.6000
batch,1,207.4000
batch,1,136.1000
batch,1,126.2000
batch,1,55.9000
batch,1,165.2000
batch,1,103.9000
batch,1,101.2000
batch,1,165.4000
batch,1,143.1000
batch,1,177.9000
batch,1,109.2000
batch,1,152.9000
batch,1,108.2000
batch,1,157.5000
batch,1,64.0000
batch,1,143.5000
batch,1,128.0000
batch,1,95.5000
batch,1,28.1000
batch,1,114.3000
batch,1,235.1000
batch,1,130.3000
batch,1,118.8000
batch,1,208.5000
batch,1,96.9000
batch,1,126.1000
batch,1,95.7000
batch,1,604.5000
